Infiltrator,Passes through the opposing Pokemon's barrier substitute and the like and strikes.
Mummy,Contact with the Pokemon changes the attacker's Ability to Mummy.
Moxie,The Pokemon shows moxie and that boosts the Attack stat after knocking out any Pokemon.
Justified,Being hit by a Dark-type move boosts the Attack stat of the Pokemon for justice.
Rattled,Dark- Ghost- and Bug-type moves scare the Pokemon and boost its Speed stat.
Magic Bounce,Reflects status moves instead of getting hit by them.
Sap Sipper,Boosts the Attack stat if hit by a Grass-type move instead of taking damage.
Prankster,Gives priority to a status move.
Sand Force,Boosts the power of Rock- Ground- and Steel-type moves in a sandstorm.
Iron Barbs,Inflicts damage to the attacker on contact with iron barbs.
Zen Mode,Changes the Pokemon's shape when HP is half or less.
Victory Star,Boosts the accuracy of its allies and itself.
Turboblaze,Moves can be used on the target regardless of its Abilities.
Teravolt,Moves can be used on the target regardless of its Abilities.
Aroma Veil,Protects itself and its allies from attacks that limit their move choices.
Flower Veil,Ally Grass-type Pokemon are protected from status conditions and the lowering of their stats.
Cheek Pouch,Restores HP as well when the Pokemon eats a Berry.
Protean,Changes the Pokemon's type to the type of the move it's about to use.
Fur Coat,Halves the damage from physical moves.
Magician,The Pokemon steals the held item of a Pokemon it hits with a move.
Bulletproof,Protects the Pokemon from some ball and bomb moves.
Competitive,Boosts the Sp. Atk stat sharply when a stat is lowered.
Strong Jaw,The Pokemon's strong jaw boosts the power of its biting moves.
Refrigerate,Normal-type moves become Ice-type moves. The power of those moves is boosted a little.
Sweet Veil,Prevents itself and ally Pokemon from falling asleep.
Stance Change,The Pokemon changes its form to Blade Forme when it uses an attack move and changes to Shield Forme when it uses King's Shield.
Gale Wings,Gives priority to Flying-type moves when the Pokemon's HP is full.
Mega Launcher,Powers up aura and pulse moves.
Grass Pelt,Boosts the Pokemon's Defense stat in Grassy Terrain.
Symbiosis,The Pokemon passes its item to an ally that has used up an item.
Tough Claws,Powers up moves that make direct contact.
Pixilate,Normal-type moves become Fairy-type moves. The power of those moves is boosted a little.
Gooey,Contact with the Pokemon lowers the attacker's Speed stat.
Aerilate,Normal-type moves become Flying-type moves. The power of those moves is boosted a little.
Parental Bond,Parent and child each attacks.
Dark Aura,Powers up each Pokemon's Dark-type moves.
Fairy Aura,Powers up each Pokemon's Fairy-type moves.
Aura Break,The effects of “Aura” Abilities are reversed to lower the power of affected moves.
Primordial Sea,The Pokemon changes the weather to nullify Fire-type attacks.
Desolate Land,The Pokemon changes the weather to nullify Water-type attacks.
Delta Stream,The Pokemon changes the weather to eliminate all of the Flying type's weaknesses.
Stamina,Boosts the Defense stat when hit by an attack.
Wimp Out,The Pokemon cowardly switches out when its HP becomes half or less.
Emergency Exit,The Pokemon sensing danger switches out when its HP becomes half or less.
Water Compaction,Boosts the Pokemon's Defense stat sharply when hit by a Water-type move.
Merciless,The Pokemon's attacks become critical hits if the target is poisoned.
Shields Down,When its HP becomes half or less the Pokemon's shell breaks and it becomes aggressive.
Stakeout,Doubles the damage dealt to the target's replacement if the target switches out.
Water Bubble,Lowers the power of Fire-type moves done to the Pokemon and prevents the Pokemon from getting a burn.
Steelworker,Powers up Steel-type moves.
Berserk,Boosts the Pokemon's Sp. Atk stat when it takes a hit that causes its HP to become half or less.
Slush Rush,Boosts the Pokemon's Speed stat in a hailstorm.
Long Reach,The Pokemon uses its moves without making contact with the target.
Liquid Voice,All sound-based moves become Water-type moves.
Triage,Gives priority to a healing move.
Galvanize,Normal-type moves become Electric-type moves. The power of those moves is boosted a little.
Surge Surfer,Doubles the Pokemon's Speed stat on Electric Terrain.
Schooling,When it has a lot of HP the Pokemon forms a powerful school. It stops schooling when its HP is low.
Disguise,Once per battle the shroud that covers the Pokemon can protect it from an attack.
Battle Bond,Defeating an opposing Pokemon strengthens the Pokemon's bond with its Trainer and it becomes Ash-Greninja. Water Shuriken gets more powerful.
Power Construct,Other Cells gather to aid when its HP becomes half or less. Then the Pokemon changes its form to Complete Forme.
Corrosion,The Pokemon can poison the target even if it's a Steel or Poison type.
Comatose,It's always drowsing and will never wake up. It can attack without waking up.
Queenly Majesty,Its majesty pressures the opposing Pokemon making it unable to attack using priority moves.
Innards Out,Damages the attacker landing the finishing hit by the amount equal to its last HP.
Dancer,When another Pokemon uses a dance move it can use a dance move following it regardless of its Speed.
Battery,Powers up ally Pokemon's special moves.
Fluffy,Halves the damage taken from moves that make direct contact but doubles that of Fire-type moves.
Dazzling,Surprises the opposing Pokemon making it unable to attack using priority moves.
Soul-Heart,Boosts its Sp. Atk stat every time a Pokemon faints.
Tangling Hair,Contact with the Pokemon lowers the attacker's Speed stat.
Receiver,The Pokemon copies the Ability of a defeated ally.
Power of Alchemy,The Pokemon copies the Ability of a defeated ally.
Beast Boost,The Pokemon boosts its most proficient stat each time it knocks out a Pokemon.
RKS System,Changes the Pokemon's type to match the memory disc it holds.
Electric Surge,Turns the ground into Electric Terrain when the Pokemon enters a battle.
Psychic Surge,Turns the ground into Psychic Terrain when the Pokemon enters a battle.
Misty Surge,Turns the ground into Misty Terrain when the Pokemon enters a battle.
Grassy Surge,Turns the ground into Grassy Terrain when the Pokemon enters a battle.
Full Metal Body,Prevents other Pokemon's moves or Abilities from lowering the Pokemon's stats.
Shadow Shield,Reduces the amount of damage the Pokemon takes while its HP is full.
Prism Armor,Reduces the power of supereffective attacks taken.
